metric,value
primary_core.positive_query_top1_exact_accuracy.value,0.24301075268817204
primary_core.positive_query_top1_exact_accuracy.successes,113
primary_core.positive_query_top1_exact_accuracy.total,465
primary_core.positive_query_top1_exact_accuracy.interval.lower,0.20623601654633722
primary_core.positive_query_top1_exact_accuracy.interval.upper,0.28399677856949157
primary_core.positive_query_top1_exact_accuracy.interval.confidence,0.95
primary_core.macro_top1_accuracy_across_templates,0.24301075268817204
primary_core.micro_top1_accuracy,0.24301075268817204
primary_core.overall_exact_accuracy_including_no_match.value,0.3553113553113553
primary_core.overall_exact_accuracy_including_no_match.successes,194
primary_core.overall_exact_accuracy_including_no_match.total,546
primary_core.overall_exact_accuracy_including_no_match.interval.lower,0.3163049454029559
primary_core.overall_exact_accuracy_including_no_match.interval.upper,0.39633949516523964
primary_core.overall_exact_accuracy_including_no_match.interval.confidence,0.95
primary_core.recall_at_1.value,0.24301075268817204
primary_core.recall_at_1.successes,113
primary_core.recall_at_1.total,465
primary_core.recall_at_1.interval.lower,0.20623601654633722
primary_core.recall_at_1.interval.upper,0.28399677856949157
primary_core.recall_at_1.interval.confidence,0.95
primary_core.recall_at_3.value,0.24516129032258063
primary_core.recall_at_3.successes,114
primary_core.recall_at_3.total,465
primary_core.recall_at_3.interval.lower,0.2082540742948633
primary_core.recall_at_3.interval.upper,0.28624455517146064
primary_core.recall_at_3.interval.confidence,0.95
primary_core.recall_at_5.value,0.24516129032258063
primary_core.recall_at_5.successes,114
primary_core.recall_at_5.total,465
primary_core.recall_at_5.interval.lower,0.2082540742948633
primary_core.recall_at_5.interval.upper,0.28624455517146064
primary_core.recall_at_5.interval.confidence,0.95
primary_core.mean_reciprocal_rank,0.24408602150537634
primary_core.unknown_template_prediction_rate.value,0
primary_core.unknown_template_prediction_rate.successes,0
primary_core.unknown_template_prediction_rate.total,696
primary_core.unknown_template_prediction_rate.interval.lower,0
primary_core.unknown_template_prediction_rate.interval.upper,0.005489041522814929
primary_core.unknown_template_prediction_rate.interval.confidence,0.95
primary_core.record_counts.core_positive,465
primary_core.record_counts.core_and_content_gap,546
content_gap.confusion.true_abstain,81
content_gap.confusion.false_abstain,351
content_gap.confusion.false_route,0
content_gap.confusion.true_route,114
content_gap.abstention_precision,0.1875
content_gap.abstention_recall,1
content_gap.abstention_f1,0.3157894736842105
content_gap.false_routing_rate_on_content_gap.value,0
content_gap.false_routing_rate_on_content_gap.successes,0
content_gap.false_routing_rate_on_content_gap.total,81
content_gap.false_routing_rate_on_content_gap.interval.lower,0
content_gap.false_routing_rate_on_content_gap.interval.upper,0.045278085502116795
content_gap.false_routing_rate_on_content_gap.interval.confidence,0.95
content_gap.false_abstention_rate_on_supported.value,0.7548387096774194
content_gap.false_abstention_rate_on_supported.successes,351
content_gap.false_abstention_rate_on_supported.total,465
content_gap.false_abstention_rate_on_supported.interval.lower,0.7137554448285395
content_gap.false_abstention_rate_on_supported.interval.upper,0.7917459257051367
content_gap.false_abstention_rate_on_supported.interval.confidence,0.95
content_gap.match_confidence_auroc,0.7816938802601885
content_gap.match_confidence_auprc,0.9549760588730417
challenges.multi_intent.count,60
challenges.multi_intent.exact_set_match.value,0
challenges.multi_intent.exact_set_match.successes,0
challenges.multi_intent.exact_set_match.total,60
challenges.multi_intent.exact_set_match.interval.lower,0
challenges.multi_intent.exact_set_match.interval.upper,0.06017185223327406
challenges.multi_intent.exact_set_match.interval.confidence,0.95
challenges.multi_intent.set_precision,0.22666666666666677
challenges.multi_intent.set_recall,0.6
challenges.multi_intent.set_f1,0.32698412698412704
challenges.multi_intent.partial_match_rate.value,0.6
challenges.multi_intent.partial_match_rate.successes,36
challenges.multi_intent.partial_match_rate.total,60
challenges.multi_intent.partial_match_rate.interval.lower,0.4736605348198932
challenges.multi_intent.partial_match_rate.interval.upper,0.7143050947334519
challenges.multi_intent.partial_match_rate.interval.confidence,0.95
challenges.ambiguous.count,60
challenges.ambiguous.acceptable_target_set_match_rate.value,0.6666666666666666
challenges.ambiguous.acceptable_target_set_match_rate.successes,40
challenges.ambiguous.acceptable_target_set_match_rate.total,60
challenges.ambiguous.acceptable_target_set_match_rate.interval.lower,0.5405686644173975
challenges.ambiguous.acceptable_target_set_match_rate.interval.upper,0.7727073848381778
challenges.ambiguous.acceptable_target_set_match_rate.interval.confidence,0.95
challenges.ambiguous.primary_choice_distribution.__abstain__,20
challenges.ambiguous.primary_choice_distribution.template-vocabulary,3
challenges.ambiguous.primary_choice_distribution.template-english-grammar-wordlist-infographic,4
challenges.ambiguous.primary_choice_distribution.template-interior-design-mood-board-generator,4
challenges.ambiguous.primary_choice_distribution.template-species-science,8
challenges.ambiguous.primary_choice_distribution.template-mbti-generic,3
challenges.ambiguous.primary_choice_distribution.template-fandom-character-grid-poster,3
challenges.ambiguous.primary_choice_distribution.template-travel,3
challenges.ambiguous.primary_choice_distribution.template-product-poster,3
challenges.ambiguous.primary_choice_distribution.template-recipe,3
challenges.ambiguous.primary_choice_distribution.template-figure-principles-infographic,3
challenges.ambiguous.primary_choice_distribution.template-mbti-personality-compatibility-infographic,3
challenges.ambiguous.abstention_rate.value,0.3333333333333333
challenges.ambiguous.abstention_rate.successes,20
challenges.ambiguous.abstention_rate.total,60
challenges.ambiguous.abstention_rate.interval.lower,0.22729261516182214
challenges.ambiguous.abstention_rate.interval.upper,0.4594313355826026
challenges.ambiguous.abstention_rate.interval.confidence,0.95
exploration.count,30
exploration.evaluation_k,3
exploration.relevant_effective_style_count_at_k.value,0.2444444444444444
exploration.relevant_effective_style_count_at_k.total,30
exploration.relevant_effective_style_count_at_k.interval.lower,0.07777777777777778
exploration.relevant_effective_style_count_at_k.interval.upper,0.4222222222222223
exploration.relevant_effective_style_count_at_k.interval.confidence,0.95
exploration.relevant_effective_style_count_at_k.interval.samples,500
exploration.mean_relevance_at_k.value,0.13333333333333333
exploration.mean_relevance_at_k.total,30
exploration.mean_relevance_at_k.interval.lower,0.04444444444444444
exploration.mean_relevance_at_k.interval.upper,0.22805555555555532
exploration.mean_relevance_at_k.interval.confidence,0.95
exploration.mean_relevance_at_k.interval.samples,500
exploration.mean_distinct_relevant_style_count.value,0.4
exploration.mean_distinct_relevant_style_count.total,30
exploration.mean_distinct_relevant_style_count.interval.lower,0.16666666666666666
exploration.mean_distinct_relevant_style_count.interval.upper,0.6666666666666666
exploration.mean_distinct_relevant_style_count.interval.confidence,0.95
exploration.mean_distinct_relevant_style_count.interval.samples,500
exploration.mean_distinct_relevant_layout_count.value,0.4
exploration.mean_distinct_relevant_layout_count.total,30
exploration.mean_distinct_relevant_layout_count.interval.lower,0.13333333333333333
exploration.mean_distinct_relevant_layout_count.interval.upper,0.6333333333333333
exploration.mean_distinct_relevant_layout_count.interval.confidence,0.95
exploration.mean_distinct_relevant_layout_count.interval.samples,500
exploration.normalized_style_exploration_score.value,0.08148148148148149
exploration.normalized_style_exploration_score.total,30
exploration.normalized_style_exploration_score.interval.lower,0.023981481481481517
exploration.normalized_style_exploration_score.interval.upper,0.14074074074074078
exploration.normalized_style_exploration_score.interval.confidence,0.95
exploration.normalized_style_exploration_score.interval.samples,500
exploration.abstention_rate.value,0.7666666666666667
exploration.abstention_rate.successes,23
exploration.abstention_rate.total,30
exploration.abstention_rate.interval.lower,0.5907167382668989
exploration.abstention_rate.interval.upper,0.8820761186204488
exploration.abstention_rate.interval.confidence,0.95
exploration.relevant_style_distribution.warm-watercolor-illustration,2
exploration.relevant_style_distribution.lifestyle-product-advertising,1
exploration.relevant_style_distribution.cute-comparison-illustration,1
exploration.relevant_style_distribution.cartoon-personality-chart,1
exploration.relevant_style_distribution.boxed-cartoon-education,1
exploration.relevant_style_distribution.illustrated-flashcard,2
exploration.relevant_style_distribution.food-photography,1
exploration.relevant_style_distribution.editorial-material-collage,1
exploration.relevant_style_distribution.fashion-illustration,1
exploration.relevant_style_distribution.cinematic-character-poster,1
robustness.semantic_cluster_prediction_consistency,0.41333333333333333
robustness.translation_consistency,0.41333333333333333
robustness.paraphrase_consistency,0.41333333333333333
robustness.typo_noise_accuracy,0.09333333333333334
robustness.explicit_to_implicit.explicit_accuracy,0.23333333333333334
robustness.explicit_to_implicit.implicit_accuracy,0.10666666666666667
robustness.explicit_to_implicit.drop,-0.12666666666666665
robustness.difficulty_accuracy.low,0.23026315789473684
robustness.difficulty_accuracy.medium,0.3875
robustness.difficulty_accuracy.high,0.10457516339869281
robustness.low_to_high_drop,-0.125687994496044
robustness.language_accuracy.zh,0
robustness.language_accuracy.en,0.5789473684210527
robustness.language_accuracy.mixed,0.03333333333333333
robustness.language_performance_gap,0.5789473684210527
robustness.transformation_metrics.aspect_ratio_modifier.count,75
robustness.transformation_metrics.aspect_ratio_modifier.accuracy,0.41333333333333333
robustness.transformation_metrics.aspect_ratio_modifier.degradation_relative_to_clean,0.18
robustness.transformation_metrics.audience_modifier.count,150
robustness.transformation_metrics.audience_modifier.accuracy,0.41333333333333333
robustness.transformation_metrics.audience_modifier.degradation_relative_to_clean,0.18
robustness.transformation_metrics.boundary_nearby.count,150
robustness.transformation_metrics.boundary_nearby.accuracy,0.10666666666666667
robustness.transformation_metrics.boundary_nearby.degradation_relative_to_clean,-0.12666666666666665
robustness.transformation_metrics.code_switch.count,30
robustness.transformation_metrics.code_switch.accuracy,0
robustness.transformation_metrics.code_switch.degradation_relative_to_clean,-0.23333333333333334
robustness.transformation_metrics.conversational.count,150
robustness.transformation_metrics.conversational.accuracy,0.41333333333333333
robustness.transformation_metrics.conversational.degradation_relative_to_clean,0.18
robustness.transformation_metrics.different_example.count,150
robustness.transformation_metrics.different_example.accuracy,0.23333333333333334
robustness.transformation_metrics.different_example.degradation_relative_to_clean,0
robustness.transformation_metrics.explicit_artifact.count,150
robustness.transformation_metrics.explicit_artifact.accuracy,0.23333333333333334
robustness.transformation_metrics.explicit_artifact.degradation_relative_to_clean,0
robustness.transformation_metrics.implicit_intent.count,150
robustness.transformation_metrics.implicit_intent.accuracy,0.10666666666666667
robustness.transformation_metrics.implicit_intent.degradation_relative_to_clean,-0.12666666666666665
robustness.transformation_metrics.layout_modifier.count,75
robustness.transformation_metrics.layout_modifier.accuracy,0.12
robustness.transformation_metrics.layout_modifier.degradation_relative_to_clean,-0.11333333333333334
robustness.transformation_metrics.manual_anchor.count,15
robustness.transformation_metrics.manual_anchor.accuracy,0
robustness.transformation_metrics.manual_anchor.degradation_relative_to_clean,-0.23333333333333334
robustness.transformation_metrics.paraphrase.count,150
robustness.transformation_metrics.paraphrase.accuracy,0.41333333333333333
robustness.transformation_metrics.paraphrase.degradation_relative_to_clean,0.18
robustness.transformation_metrics.style_modifier.count,75
robustness.transformation_metrics.style_modifier.accuracy,0.41333333333333333
robustness.transformation_metrics.style_modifier.degradation_relative_to_clean,0.18
robustness.transformation_metrics.typo_noise.count,75
robustness.transformation_metrics.typo_noise.accuracy,0.09333333333333334
robustness.transformation_metrics.typo_noise.degradation_relative_to_clean,-0.14
robustness.transformation_metrics.underspecified.count,120
robustness.transformation_metrics.underspecified.accuracy,0.13333333333333333
robustness.transformation_metrics.underspecified.degradation_relative_to_clean,-0.1
system.latency_mean_ms,1.3173951149425283
system.latency_median_ms,1.2930000000000001
system.latency_p90_ms,1.427
system.latency_p95_ms,1.49875
system.latency_sample_count,696
system.error_rate,0
system.retry_rate,0
